ID,LOCATION,PLOT,ROW,COLUMN,REP,nitrogen_dose,irrigation,cultivar,TRT_COMB,YIELD
61,fayetteville,407,11,1,4,0,0,1,0*0*1,152.1
62,fayetteville,408,11,2,4,2,2,0,2*2*0,166.93
63,fayetteville,409,11,3,4,1,0,1,1*0*1,156.14
64,fayetteville,410,11,4,4,1,1,1,1*1*1,142.76
65,fayetteville,411,11,5,4,2,1,0,2*1*0,177.54
66,fayetteville,412,11,6,4,0,1,1,0*1*1,146.52
72,fayetteville,413,12,6,4,1,2,0,1*2*0,117.24
71,fayetteville,414,12,5,4,0,1,0,0*1*0,183.25
70,fayetteville,415,12,4,4,1,2,1,1*2*1,173.06
69,fayetteville,416,12,3,4,2,1,1,2*1*1,131.03
68,fayetteville,417,12,2,4,0,2,0,0*2*0,120.49
67,fayetteville,418,12,1,4,2,0,0,2*0*0,137.57
73,fayetteville,501,13,1,5,1,1,1,1*1*1,141.7
74,fayetteville,502,13,2,5,0,1,1,0*1*1,144.34
75,fayetteville,503,13,3,5,2,2,1,2*2*1,162.34
76,fayetteville,504,13,4,5,1,0,1,1*0*1,154.39
77,fayetteville,505,13,5,5,2,0,1,2*0*1,131.13
78,fayetteville,506,13,6,5,0,1,0,0*1*0,181.57
84,fayetteville,507,14,6,5,1,1,0,1*1*0,156.93
83,fayetteville,508,14,5,5,0,0,0,0*0*0,178.19
82,fayetteville,509,14,4,5,2,1,0,2*1*0,175.75
81,fayetteville,510,14,3,5,0,0,1,0*0*1,152.16
80,fayetteville,511,14,2,5,1,2,0,1*2*0,116.44
79,fayetteville,512,14,1,5,2,0,0,2*0*0,136.54
85,fayetteville,513,15,1,5,2,2,0,2*2*0,168.22
86,fayetteville,514,15,2,5,2,1,1,2*1*1,130.04
87,fayetteville,515,15,3,5,0,2,0,0*2*0,118.69
88,fayetteville,516,15,4,5,1,0,0,1*0*0,143.7
89,fayetteville,517,15,5,5,0,2,1,0*2*1,126.96
90,fayetteville,518,15,6,5,1,2,1,1*2*1,171.9
